t,x
48181,3.09748067121028e-05
48182,3.112206954392592e-05
48183,3.1260605492477983e-05
48184,3.139395848753108e-05
48185,3.151615217678726e-05
48186,3.162178054890091e-05
48187,3.171730116651236e-05
48188,3.180657335100784e-05
48189,3.189161548659758e-05
48190,3.1972663994281146e-05
48191,3.204600658602368e-05
48192,3.212064783347011e-05
48193,3.2206766576793664e-05
48194,3.229242534944267e-05
48195,3.235685037651851e-05
48196,3.2392680232185274e-05
48197,3.2406305314280295e-05
48198,3.240113773752456e-05
48199,3.237624833837598e-05
48200,3.233941138443194e-05
48201,3.2298232766316985e-05
48202,3.224840045873336e-05
48203,3.218012199526715e-05
48204,3.208735979659742e-05
48205,3.1971652708211335e-05
48206,3.1839964341812436e-05
48207,3.1699197875111854e-05
48208,3.156194838437985e-05
48209,3.145910013584549e-05
48210,3.141580971589832e-05
48211,3.1409458556687715e-05
48212,3.140706984629806e-05
48213,3.141574822864528e-05
48214,3.1441339633103575e-05
48215,3.146881532792619e-05
48216,3.1497984034932884e-05
48217,3.154373363735269e-05
48218,3.160478277066566e-05
48219,3.165904934998246e-05
48220,3.169582649754183e-05
48221,3.173794196269396e-05
48222,3.181436493045474e-05
48223,3.19123396332258e-05
48224,3.2001128758606635e-05
48225,3.207920997656301e-05
48226,3.215641604912154e-05
48227,3.2236680721443055e-05
48228,3.231426600975162e-05
48229,3.23817265496192e-05
48230,3.2438295938138344e-05
48231,3.247569557541282e-05
48232,3.248681585541813e-05
48233,3.247247193732298e-05
48234,3.244032901633815e-05
48235,3.240423894787009e-05
48236,3.236400155359168e-05
48237,3.230600982500847e-05
48238,3.222698205037836e-05
48239,3.213556883142204e-05
48240,3.203378529351449e-05
48241,3.1916455240390114e-05
48242,3.178474032471514e-05
48243,3.163979607276768e-05
48244,3.147706538739748e-05
48245,3.1304836976438125e-05
48246,3.1148982856621516e-05
48247,3.1017204327307527e-05
48248,3.0893580173019914e-05
48249,3.0774202610098296e-05
48250,3.06626220696322e-05
48251,3.055362612789027e-05
48252,3.0440133884910655e-05
48253,3.0317818715319858e-05
48254,3.0184023784950844e-05
48255,3.003664048162608e-05
48256,2.9880898213804934e-05
48257,2.9728733974238945e-05
48258,2.9581020723488955e-05
48259,2.9427127774907792e-05
48260,2.9268002753710252e-05
48261,2.9118842022176798e-05
48262,2.898530412804766e-05
48263,2.8853733256726394e-05
48264,2.8715071530633117e-05
48265,2.8580807931259676e-05
48266,2.8458797275671516e-05
48267,2.8337033250422963e-05
48268,2.8200263561947513e-05
48269,2.8043541097876004e-05
48270,2.7869646771227335e-05
48271,2.7681330021192508e-05
48272,2.748232649127618e-05
48273,2.728068937057491e-05
48274,2.7077759291238287e-05
48275,2.68671968690451e-05
48276,2.6651662884148078e-05
48277,2.645660934112416e-05
